EmployeeID,Age group,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Performance status ,Distance Status,Working_years
1,45-60,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1,11,0,1,6,1,0,0,3,4,2,3,3,Low,Near-By,Btw 0-10
2,30-45,Yes,Travel_Frequently,R&D,10,1,Life Sciences,1,Female,1,Research Scientist,Single,41890,0,23,1,6,3,5,1,4,3,2,4,2,4,High,Near-By,Btw 0-10
3,30-45,No,Travel_Frequently,R&D,17,4,Other,1,Male,4,Sales Executive,Married,193280,1,15,3,5,2,5,0,3,2,2,1,3,3,Low,Far,Btw 0-10
4,30-45,No,Non-Travel,R&D,2,5,Life Sciences,1,Male,3,Human Resources,Married,83210,3,11,3,13,5,8,7,5,4,4,3,2,3,Low,Near-By,Btw 0-10
5,30-45,No,Travel_Rarely,R&D,10,1,Medical,1,Male,1,Sales Executive,Single,23420,4,12,2,9,2,6,0,4,4,1,3,3,3,Low,Near-By,Btw 0-10
6,45-60,No,Travel_Rarely,R&D,8,3,Life Sciences,1,Female,4,Research Director,Married,40710,3,13,0,28,5,7,7,7,3,2,2,3,3,Low,Near-By,Btw 0-10
7,18-30,Yes,Travel_Rarely,R&D,11,2,Medical,1,Male,2,Sales Executive,Single,58130,2,20,1,5,2,0,0,0,1,3,1,3,4,High,Far,Btw 0-10
8,18-30,No,Travel_Rarely,R&D,18,3,Life Sciences,1,Male,2,Sales Executive,Married,31430,2,22,3,10,2,0,0,0,1,2,3,3,4,High,Far,Btw 0-10
9,30-45,No,Travel_Rarely,R&D,1,3,Life Sciences,1,Male,3,Laboratory Technician,Married,20440,0,21,0,10,2,9,7,8,2,4,3,3,4,High,Near-By,Btw 0-10
10,18-30,No,Non-Travel,R&D,7,4,Medical,1,Female,4,Laboratory Technician,Divorced,134640,1,13,1,6,2,6,1,5,2,1,3,3,3,Low,Near-By,Btw 0-10
11,45-60,No,Travel_Rarely,R&D,17,2,Medical,1,Male,2,Laboratory Technician,Married,79910,0,13,2,21,2,20,4,10,3,4,3,2,3,Low,Far,Btw 11-20
12,30-45,No,Travel_Rarely,R&D,28,1,Life Sciences,1,Male,1,Laboratory Technician,Married,33770,0,12,2,16,2,15,10,11,1,4,3,3,3,Low,Very Far,Btw 11-20
13,45-60,No,Travel_Rarely,R&D,14,4,Life Sciences,1,Female,1,Sales Executive,Single,55380,0,17,0,37,2,36,4,13,4,1,3,3,3,Low,Far,30?
